Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CB 01R,476.425,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
2,CB 02R,476.45,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
3,CB 03R,476.475,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
4,CB 04R,476.5,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
5,CB 05R,476.525,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
6,CB 06R,476.55,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
7,CB 07R,476.575,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
8,CB 08R,476.6,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
9,CB 09,476.625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
10,CB 10,476.65,,0,,88.5,88.5,23,NN,NFM,5,,,,,
11,CB 11,476.675,,0,,88.5,88.5,23,NN,NFM,5,,,,,
12,CB 12,476.7,,0,,88.5,88.5,23,NN,NFM,5,,,,,
13,CB 13,476.725,,0,,88.5,88.5,23,NN,NFM,5,,,,,
14,CB 14,476.75,,0,,88.5,88.5,23,NN,NFM,5,,,,,
15,CB 15,476.775,,0,,88.5,88.5,23,NN,NFM,5,,,,,
16,CB 16,476.8,,0,,88.5,88.5,23,NN,NFM,5,,,,,
17,CB 17,476.825,,0,,88.5,88.5,23,NN,NFM,5,,,,,
18,CB 18,476.85,,0,,88.5,88.5,23,NN,NFM,5,,,,,
19,CB 19,476.875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
20,CB 20,476.9,,0,,88.5,88.5,23,NN,NFM,5,,,,,
21,CB 21,476.925,,0,,88.5,88.5,23,NN,NFM,5,,,,,
22,CB 22,476.95,,0,,88.5,88.5,23,NN,NFM,5,,,,,
23,CB 23,476.975,,0,,88.5,88.5,23,NN,NFM,5,,,,,
24,CB 24,477,,0,,88.5,88.5,23,NN,NFM,5,,,,,
25,CB 25,477.025,,0,,88.5,88.5,23,NN,NFM,5,,,,,
26,CB 26,477.05,,0,,88.5,88.5,23,NN,NFM,5,,,,,
27,CB 27,477.075,,0,,88.5,88.5,23,NN,NFM,5,,,,,
28,CB 28,477.1,,0,,88.5,88.5,23,NN,NFM,5,,,,,
29,CB 29,477.125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
30,CB 30,477.15,,0,,88.5,88.5,23,NN,NFM,5,,,,,
31,CB 31,477.175,,0,,88.5,88.5,23,NN,NFM,5,,,,,
32,CB 32,477.2,,0,,88.5,88.5,23,NN,NFM,5,,,,,
33,CB 33,477.225,,0,,88.5,88.5,23,NN,NFM,5,,,,,
34,CB 34,477.25,,0,,88.5,88.5,23,NN,NFM,5,,,,,
35,CB 35,477.275,,0,,88.5,88.5,23,NN,NFM,5,,,,,
36,CB 36,477.3,,0,,88.5,88.5,23,NN,NFM,5,,,,,
37,CB 37,477.325,,0,,88.5,88.5,23,NN,NFM,5,,,,,
38,CB 38,477.35,,0,,88.5,88.5,23,NN,NFM,5,,,,,
39,CB 39,477.375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
40,CB 40,477.4,,0,,88.5,88.5,23,NN,NFM,5,,,,,
41,CB 41R,476.4375,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
42,CB 42R,476.4625,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
43,CB 43R,476.4875,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
44,CB 44R,476.5125,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
45,CB 45R,476.5375,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
46,CB 46R,476.5625,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
47,CB 47R,476.5875,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
48,CB 48R,476.6125,+,0.75,,88.5,88.5,23,NN,NFM,5,,,,,
49,CB 49,476.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
50,CB 50,476.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
51,CB 51,476.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
52,CB 52,476.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
53,CB 53,476.7375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
54,CB 54,476.7625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
55,CB 55,476.7875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
56,CB 56,476.8125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
57,CB 57,476.8375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
58,CB 59,476.8875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
59,CB 58,476.8625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
60,CB 60,476.9125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
61,CB 61,476.9375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
62,CB 62,476.9625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
63,CB 63,476.9875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
64,CB 64,477.0125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
65,CB 65,477.0375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
66,CB 66,477.0625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
67,CB 67,477.0875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
68,CB 68,477.1125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
69,CB 69,477.1375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
70,CB 70,477.1625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
71,CB 71,477.1875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
72,CB 72,477.2125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
73,CB 73,477.2375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
74,CB 74,477.2625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
75,CB 75,477.2875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
76,CB 76,477.3125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
77,CB 77,477.3375,,0,,88.5,88.5,23,NN,NFM,5,,,,,
78,CB 78,477.3625,,0,,88.5,88.5,23,NN,NFM,5,,,,,
79,CB 79,477.3875,,0,,88.5,88.5,23,NN,NFM,5,,,,,
80,CB 80,477.4125,,0,,88.5,88.5,23,NN,NFM,5,,,,,
